FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
12077,Liberty County,FL,39.9,6902.0,14,742
42131,Wyoming County,PA,70.4,21596.0,25,1833
51530,Buena Vista city,VA,44.9,5161.0,12,668
19171,Tama County,IA,75.1,12809.0,15,1116
20125,Montgomery County,KS,56.4,24261.0,40,3758
35027,Lincoln County,NM,69.1,16003.0,22,2156
39175,Wyandot County,OH,58.5,16867.0,17,1460
22119,Webster Parish,LA,52.9,29751.0,33,5269
39143,Sandusky County,OH,63.6,45583.0,39,4197
51810,Virginia Beach city,VA,72.6,351000.0,250,42935
51510,Alexandria city,VA,71.6,130736.0,34,20482
18061,Harrison County,IN,62.0,31495.0,34,4023
51105,Lee County,VA,59.8,19101.0,27,2430
29117,Livingston County,MO,52.7,12025.0,18,1072
51033,Caroline County,VA,52.0,23718.0,31,2899
38093,Stutsman County,ND,62.6,16558.0,5,2331
22107,Tensas Parish,LA,76.0,3363.0,2,498
51005,Alleghany County,VA,46.8,12146.0,14,1199
13081,Crisp County,GA,53.4,17021.0,18,1684
22041,Franklin Parish,LA,47.6,14951.0,34,2932
42103,Pike County,PA,66.5,46099.0,30,4186
51117,Mecklenburg County,VA,50.8,24881.0,31,2979
51127,New Kent County,VA,60.4,18489.0,7,2258
08009,Baca County,CO,49.2,2785.0,7,316
53047,Okanogan County,WA,81.9,32410.0,24,3590
22081,Red River Parish,LA,45.4,6469.0,5,767
36051,Livingston County,NY,66.0,51865.0,28,4428
20173,Sedgwick County,KS,67.6,384853.0,389,57944
25027,Worcester County,MA,78.9,657227.0,572,85650
40045,Ellis County,OK,44.4,2981.0,5,300
48097,Cooke County,TX,47.7,31512.0,25,2197
36103,Suffolk County,NY,88.1,1167503.0,698,166694
19189,Winnebago County,IA,63.8,8102.0,6,733
17001,Adams County,IL,63.8,50674.0,43,8294
06113,Yolo County,CA,78.0,174725.0,56,26049
12081,Manatee County,FL,71.4,330760.0,783,38114
41045,Malheur County,OR,60.4,22654.0,15,2682
39125,Paulding County,OH,52.9,14294.0,7,1280
